First Name,Last Name,Email,Phone,Business Name,Address,City,State,Zip,Niche,Geo,Digital Maturity Score,Website Score,Instagram Score,Google Reviews Count,Est Monthly Revenue Band,Decision Maker Name,Decision Maker Role,Last Contact Date,Next Action Date,Objection Type,Offer Tier,Proposal Amount,Expected Close Date,Tags,Pipeline Stage,Notes
Owner,TBD,tbd@loungeofbeauty.com,(562) 245-4596,Lounge of Beauty Medical Spa,Naples Area,Long Beach,CA,90803,Med Spa,geo-longbeach,2,2,1,TBD,$50K-150K,TBD,Owner,,,,Tier 2,$5000,,msa-tier1-priority;msa-niche-medspa;msa-geo-longbeach,Targeted,Morpheus8 Botox fillers laser. No visible website or IG presence found.
Owner,TBD,tbd@gmedical.com,,G-Medical Massage Spa LLC,3840 Woodruff Ave #201,Long Beach,CA,90808,Med Spa,geo-longbeach,2,2,1,TBD,$50K-150K,TBD,Owner,,,,Tier 2,$5000,,msa-tier1-priority;msa-niche-medspa;msa-geo-longbeach,Targeted,Med spa and massage services. Very low digital visibility.
Owner,TBD,tbd@reenergized.com,,ReEnergized,4434 E Pacific Coast Hwy,Long Beach,CA,90804,Med Spa,geo-longbeach,2,2,1,TBD,$50K-150K,TBD,Owner,,,,Tier 2,$5000,,msa-tier1-priority;msa-niche-medspa;msa-geo-longbeach,Targeted,Wellness and rejuvenation. Minimal online footprint detected.
Owner,TBD,tbd@ladolcevita.com,,La Dolce Vita Spa,927 E Broadway,Long Beach,CA,90802,Med Spa,geo-longbeach,1,1,1,96,$50K-150K,TBD,Owner,,,,Tier 2,$5000,,msa-tier1-priority;msa-niche-medspa;msa-geo-longbeach,Targeted,4.2 stars on Google. Very weak digital brand. High opportunity.
Owner,TBD,tbd@opulence.com,,Opulence Wellness Spa,925 E San Antonio Dr,Long Beach,CA,90807,Med Spa,geo-longbeach,2,2,1,45,$50K-150K,TBD,Owner,,,,Tier 2,$5000,,msa-tier1-priority;msa-niche-medspa;msa-geo-longbeach,Targeted,4.2 Google rating. Weak website and no social brand.
Owner,TBD,tbd@asilentmoment.com,,A Silent Moment Spa,,Long Beach,CA,,Med Spa,geo-longbeach,2,2,1,TBD,$50K-150K,TBD,Owner,,,,Tier 2,$5000,,msa-tier1-priority;msa-niche-medspa;msa-geo-longbeach,Targeted,Massage and luxury facials. Weak digital presence.
Owner,TBD,tbd@spasidney.com,(562) 433-9665,Spa Sidney Beauty Lounge,3519 E Broadway,Long Beach,CA,90803,Med Spa,geo-longbeach,2,2,1,TBD,$50K-150K,TBD,Owner,,,,Tier 2,$5000,,msa-tier1-priority;msa-niche-medspa;msa-geo-longbeach,Targeted,Boutique by-appointment spa. No notable social presence.
Owner,TBD,tbd@hunnyandjade.com,,Hunny & Jade,6481 E Pacific Coast Hwy,Long Beach,CA,90803,Med Spa,geo-longbeach,2,2,1,TBD,$50K-150K,TBD,Owner,,,,Tier 2,$5000,,msa-tier1-priority;msa-niche-medspa;msa-geo-longbeach,Targeted,Head spa and scalp treatments. Niche positioning opportunity.
Owner,TBD,tbd@eyecandylakewood.com,,Eye Candy Med Spa,TBD,Lakewood,CA,90712,Med Spa,geo-lakewood,3,3,2,TBD,$50K-150K,TBD,Owner,,,,Tier 2,$5000,,msa-tier1-priority;msa-niche-medspa;msa-geo-lakewood,Targeted,Luxury aesthetic care. Low digital game for luxury positioning.
Owner,TBD,tbd@snapglam.com,,Snap Glam Med Spa,TBD,Lakewood,CA,90712,Med Spa,geo-lakewood,2,2,1,TBD,$50K-150K,TBD,Owner,,,,Tier 2,$5000,,msa-tier1-priority;msa-niche-medspa;msa-geo-lakewood,Targeted,Botox and facial rejuvenation. Top-rated but low online visibility.
Owner,TBD,tbd@imageclinic.com,(562) 808-2144,Image Care Clinic,3510 E Lakewood Blvd,Lakewood,CA,90703,Med Spa,geo-lakewood,3,3,2,TBD,$50K-150K,TBD,Owner,,,,Tier 2,$5000,,msa-tier1-priority;msa-niche-medspa;msa-geo-lakewood,Targeted,Non-surgical facelifts. Open 9AM-3PM. Easy owner access.
Owner,TBD,tbd@ambianceskincare.com,,Ambiance Skin Care & Day Spa,Belmont Area,Long Beach,CA,90803,Med Spa,geo-longbeach,2,2,2,TBD,$100K-200K,TBD,Owner,,,,Tier 2,$5000,,msa-tier1-priority;msa-niche-medspa;msa-geo-longbeach,Targeted,20+ years experience. Facials infrared sauna salt rooms. TripAdvisor top ranked. No premium brand.
Owner,TBD,tbd@bariatric.com,,Bariatric Institute,790 E Willow St #100,Long Beach,CA,90806,Med Spa,geo-longbeach,3,3,2,118,$100K-200K,TBD,Owner,,,,Tier 2,$5000,,msa-tier1-priority;msa-niche-medspa;msa-geo-longbeach,Targeted,5.0 stars 118 reviews. Weight control and med spa combo. Premium cross-sell angle.
Owner,TBD,(323) 348-6900@mebodysculpting.com,(323) 348-6900,Me Body Sculpting,2231 N Lakewood Blvd #200,Long Beach,CA,90815,Med Spa,geo-longbeach,2,2,1,TBD,$50K-150K,TBD,Owner,,,,Tier 2,$5000,,msa-tier1-priority;msa-niche-medspa;msa-geo-longbeach,Targeted,Body sculpting and beauty inside Me Time Beauty Bar.
Owner,TBD,tbd@lbweightcontrol.com,(562) 270-9800,Long Beach Medical Weight Control,1934 N Lakewood Blvd,Long Beach,CA,90815,Med Spa,geo-longbeach,3,3,2,TBD,$50K-100K,TBD,Owner,,,,Tier 2,$5000,,msa-tier1-priority;msa-niche-medspa;msa-geo-longbeach,Targeted,4.1 Google rating. Weight control clinic with aesthetic opportunity.
Owner,TBD,tbd@reddyaesthetics.com,(562) 336-1658,Reddy Aesthetics,4241 Atlantic Ave,Long Beach,CA,90807,Med Spa,geo-longbeach,4,4,3,68,$100K-200K,TBD,Owner,,,,Tier 2,$5000,,msa-tier2-priority;msa-niche-medspa;msa-geo-longbeach,Targeted,4.4 stars 68 reviews. Botox laser IV therapy. Decent base but no social or brand strategy.
Owner,TBD,tbd@xclusivespa.com,,Xclusive's Spa Suite,4432 Pacific Coast Hwy,Long Beach,CA,90804,Med Spa,geo-longbeach,4,4,3,TBD,$50K-150K,TBD,Owner,,,,Tier 2,$5000,,msa-tier2-priority;msa-niche-medspa;msa-geo-longbeach,Targeted,Medical spa suite model. No brand differentiation visible.
Owner,TBD,tbd@spavialb.com,,Spavia LBX,4201 McGowen St #240,Long Beach,CA,90808,Med Spa,geo-longbeach,4,4,3,68,$100K-200K,TBD,Owner,,,,Tier 2,$5000,,msa-tier2-priority;msa-niche-medspa;msa-geo-longbeach,Targeted,4.1 stars 68 reviews. Day spa. Ripe for premium digital overhaul.
Owner,TBD,tbd@gamedayhealth.com,,Gameday Men's Health,4300 Long Beach Blvd #450,Long Beach,CA,90807,Med Spa,geo-longbeach,5,5,4,51,$100K-200K,TBD,Owner,,,,Tier 2,$5000,,msa-tier2-priority;msa-niche-medspa;msa-geo-longbeach,Targeted,4.9 stars 51 reviews. Men's health aesthetics. Underserved male market play.
Owner,TBD,tbd@hydrabeach.com,,HydraBeach IV Therapy & Cosmetic,5865 E Naples Plaza,Long Beach,CA,90803,Med Spa,geo-longbeach,5,5,4,57,$100K-200K,TBD,Owner,,,,Tier 2,$5000,,msa-tier2-priority;msa-niche-medspa;msa-geo-longbeach,Targeted,4.9 stars 57 reviews. IV therapy and injectables. Strong reviews weak brand.
Owner,TBD,tbd@panaceahc.com,,Panacea Healthcare,2630 Pacific Ave,Long Beach,CA,90806,Med Spa,geo-longbeach,5,4,3,TBD,$100K-200K,TBD,Owner,,,,Tier 2,$5000,,msa-tier2-priority;msa-niche-medspa;msa-geo-longbeach,Targeted,Botox laser IV therapy weight management. Lots of services but scattered positioning.
