First Name,Last Name,Email,Phone,Business Name,Address,City,State,Zip,Niche,Geo,Digital Maturity Score,Website Score,Instagram Score,Google Reviews Count,Est Monthly Revenue Band,Decision Maker Name,Decision Maker Role,Last Contact Date,Next Action Date,Objection Type,Offer Tier,Proposal Amount,Expected Close Date,Tags,Pipeline Stage,Notes
Owner,TBD,,(562) 245-4596,Lounge of Beauty Medical Spa,Naples Area,Long Beach,CA,90803,Med Spa,geo-longbeach,2,2,1,,$50K-150K,TBD,Owner,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Morpheus8 Botox fillers laser. No visible website or IG presence found.
Owner,TBD,,,G-Medical Massage Spa LLC,3840 Woodruff Ave #201,Long Beach,CA,90808,Med Spa,geo-longbeach,2,2,1,,$50K-150K,TBD,Owner,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Med spa and massage services. Very low digital visibility.
Owner,TBD,,,ReEnergized,4434 E Pacific Coast Hwy,Long Beach,CA,90804,Med Spa,geo-longbeach,2,2,1,,$50K-150K,TBD,Owner,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Wellness and rejuvenation. Minimal online footprint detected.
Owner,TBD,,,La Dolce Vita Spa,927 E Broadway,Long Beach,CA,90802,Med Spa,geo-longbeach,1,1,1,96,$50K-150K,TBD,Owner,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,4.2 stars on Google. Very weak digital brand. High opportunity.
Owner,TBD,,,Opulence Wellness Spa,925 E San Antonio Dr,Long Beach,CA,90807,Med Spa,geo-longbeach,2,2,1,45,$50K-150K,TBD,Owner,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,4.2 Google rating. Weak website and no social brand.
Owner,TBD,,,A Silent Moment Spa,,Long Beach,CA,,Med Spa,geo-longbeach,2,2,1,,$50K-150K,TBD,Owner,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Massage and luxury facials. Weak digital presence.
Owner,TBD,,(562) 433-9665,Spa Sidney Beauty Lounge,3519 E Broadway,Long Beach,CA,90803,Med Spa,geo-longbeach,2,2,1,,$50K-150K,TBD,Owner,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Boutique by-appointment spa. No notable social presence.
Owner,TBD,,,Hunny & Jade,6481 E Pacific Coast Hwy,Long Beach,CA,90803,Med Spa,geo-longbeach,2,2,1,,$50K-150K,TBD,Owner,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Head spa and scalp treatments. Niche positioning opportunity.
Owner,TBD,,,Eye Candy Med Spa,TBD,Lakewood,CA,90712,Med Spa,geo-lakewood,3,3,2,,$50K-150K,TBD,Owner,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-lakewood,msa-imported-no-email-verify",,Luxury aesthetic care. Low digital game for luxury positioning.
Owner,TBD,,,Snap Glam Med Spa,TBD,Lakewood,CA,90712,Med Spa,geo-lakewood,2,2,1,,$50K-150K,TBD,Owner,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-lakewood,msa-imported-no-email-verify",,Botox and facial rejuvenation. Top-rated but low online visibility.
